"N";"AltInch";"PesoPounds"
1;65,78;112,99
2;71,51;136,48
3;69,39;153,02
4;68,21;142,33
5;67,78;144,29
6;68,69;123,30
7;69,80;141,49
8;70,01;136,46
9;67,90;112,37
10;66,78;120,66
11;66,48;127,45
12;67,62;114,14
13;68,30;125,61
14;67,11;122,46
15;68,27;116,08
16;71,09;139,99
17;66,46;129,50
18;68,64;142,97
19;71,23;137,90
20;67,13;124,04
21;67,83;141,28
22;68,87;143,53
23;63,48;97,90
24;68,42;129,50
25;67,62;141,85
26;67,20;129,72
27;70,84;142,42
28;67,49;131,55
29;66,53;108,33
30;65,44;113,89
31;69,52;103,30
32;65,81;120,75
33;67,81;125,78
34;70,59;136,22
35;71,80;140,10
36;69,20;128,74
37;66,80;141,79
38;67,65;121,23
39;67,80;131,34
40;64,04;106,71
41;68,57;124,35
42;65,18;124,85
43;69,65;139,67
44;67,96;137,36
45;65,98;106,44
46;68,67;128,76
47;66,88;145,68
48;67,69;116,81
49;69,82;143,62
50;69,08;134,93
51;69,91;147,02
52;67,33;126,32
53;70,26;125,48
54;69,10;115,70
55;65,38;123,48
56;70,18;147,89
57;70,40;155,89
58;66,54;128,07
59;66,36;119,37
60;67,53;133,81
61;66,50;128,73
62;68,99;137,54
63;68,30;129,76
64;67,01;128,82
65;70,80;135,31
66;68,21;109,61
67;69,05;142,46
68;67,73;132,74
69;67,21;103,52
70;67,36;124,72
71;65,27;129,31
72;70,84;134,01
73;69,92;140,39
74;64,28;102,83
75;68,24;128,52
76;66,35;120,29
77;68,36;138,60
78;65,47;132,95
79;69,71;115,62
80;67,72;122,52
81;68,63;134,62
82;66,78;121,89
83;70,05;155,37
84;66,27;128,94
85;69,20;129,10
86;69,13;139,47
87;67,36;140,89
88;70,09;131,59
89;70,17;121,12
90;68,22;131,51
91;68,12;136,54
92;70,24;141,48
93;71,48;140,61
94;69,20;112,14
95;70,06;133,45
96;70,55;131,80
97;66,28;120,02
98;63,42;123,09
99;66,76;128,14
100;68,88;115,47
101;64,87;102,09
102;67,09;130,35
103;68,34;134,18
104;65,61;98,64
105;67,75;114,55
106;68,02;123,49
107;67,66;123,04
108;66,31;126,47
109;69,43;128,41
110;63,83;127,19
111;67,72;122,05
112;70,05;127,60
113;70,18;131,64
114;65,94;111,89
115;70,00;122,03
116;68,61;128,55
117;68,80;132,67
118;69,76;136,06
119;65,45;115,94
120;68,82;136,90
121;65,80;119,88
122;67,21;109,00
123;69,42;128,27
124;68,94;135,29
125;67,94;106,85
126;65,62;123,29
127;66,49;109,51
128;67,92;119,30
129;68,89;140,24
130;70,24;133,98
131;68,26;132,58
132;71,23;130,69
133;69,09;115,56
134;64,39;123,79
135;71,09;128,14
136;68,21;135,96
137;65,91;116,62
138;67,43;126,82
139;73,90;151,39
140;69,98;130,40
141;69,51;136,20
142;65,18;113,39
143;68,00;125,32
144;68,33;127,58
145;65,18;107,15
146;68,26;116,45
147;68,56;133,84
148;64,49;112,89
149;68,71;130,75
150;68,89;137,75
151;69,54;125,40
152;67,39;138,46
153;66,47;120,81
154;66,01;140,15
155;72,44;136,73
156;64,12;106,11
157;70,98;158,95
158;67,50;108,78
159;72,01;138,77
160;65,31;115,91
161;67,07;146,29
162;64,39;109,87
163;69,37;139,04
164;68,37;119,90
165;65,31;128,30
166;67,13;127,24
167;68,39;115,23
168;66,29;124,79
169;67,18;126,95
170;65,99;111,27
171;69,43;122,60
172;67,97;124,20
173;67,76;124,64
174;65,27;119,51
175;73,83;139,29
176;66,81;104,82
177;66,89;123,04
178;65,73;118,89
179;65,98;121,49
180;66,58;119,24
181;67,11;135,02
182;65,87;116,22
183;66,78;109,17
184;68,73;124,22
185;66,22;141,16
186;65,95;129,15
187;68,58;127,86
188;66,59;120,92
189;66,96;127,64
190;68,08;101,46
191;70,19;144,99
192;65,52;110,95
193;67,45;132,86
194;67,40;146,33
195;69,66;145,58
196;65,79;120,84
197;66,10;115,78
198;68,23;128,30
199;68,02;127,47
200;71,39;127,87
201;65,73;121,49
202;66,43;112,71
203;70,01;135,00
204;69,48;128,67
205;68,62;124,40
206;68,36;140,02
207;68,39;117,51
208;68,77;143,87
209;69,92;141,17
210;71,55;155,94
211;68,44;134,00
212;66,71;130,09
213;66,68;106,22
214;67,93;112,04
215;68,89;136,18
216;67,29;131,23
217;69,57;131,32
218;67,67;119,52
219;69,04;116,99
220;67,96;138,52
221;65,83;109,65
222;65,77;130,15
223;71,14;137,11
224;67,83;113,75
225;65,06;114,97
226;69,70;127,71
227;69,92;121,99
228;66,11;117,96
229;68,61;127,71
230;68,99;117,96
231;66,79;125,15
232;68,02;141,10
233;69,67;145,48
234;71,82;116,06
235;72,74;135,74
236;67,27;132,92
237;67,41;115,66
238;68,53;114,31
239;68,47;148,95
240;68,51;142,18
241;63,72;134,10
242;67,70;141,89
243;69,47;138,74
244;66,70;134,44
245;65,23;117,01
246;69,89;115,67
247;69,83;134,79
248;65,39;120,57
249;68,32;120,08
250;65,93;84,35
251;70,09;138,93
252;66,05;143,52
253;68,23;123,13
254;65,21;115,52
255;69,16;120,98
256;67,60;120,64
257;67,28;124,03
258;66,84;117,22
259;68,08;127,95
260;66,56;116,75
261;70,16;121,99
262;67,85;123,99
263;66,62;108,85
264;63,68;104,65
265;68,03;132,24
266;66,94;127,18
267;66,26;125,12
268;70,73;133,32
269;70,70;122,33
270;73,26;130,26
271;63,79;116,74
272;67,84;125,85
273;67,78;100,62
274;67,23;118,49
275;66,75;137,12
276;69,03;118,69
277;68,52;124,16
278;64,65;124,94
279;65,14;126,38
280;66,74;121,52
281;66,99;133,29
282;70,26;127,40
283;67,57;125,08
284;66,30;102,81
285;68,90;134,22
286;65,60;100,97
287;68,00;145,88
288;69,93;155,30
289;70,14;138,71
290;66,66;116,26
291;69,40;120,60
292;66,80;114,40
293;67,70;133,34
294;69,13;92,74
295;67,53;131,78
296;65,77;118,38
297;66,25;131,14
298;67,39;130,20
299;64,94;129,18
300;69,25;143,14
301;69,07;138,73
302;69,64;130,95
303;69,07;124,30
304;68,01;135,37
305;68,85;124,19
306;63,19;111,23
307;65,57;129,40
308;69,12;127,74
309;69,78;121,33
310;67,48;118,21
311;69,08;123,34
312;68,55;151,91
313;68,21;115,31
314;67,10;122,38
315;71,23;129,23
316;69,11;138,28
317;65,49;144,05
318;66,58;120,84
319;67,99;113,30
320;72,57;149,32
321;67,97;130,63
322;66,62;122,38
323;67,29;133,86
324;65,95;134,83
325;66,54;137,83
326;68,07;112,68
327;65,83;121,19
328;69,23;114,92
329;64,69;110,37
330;69,21;126,03
331;67,16;118,70
332;67,84;119,31
333;69,27;150,73
334;67,90;121,11
335;67,07;118,40
336;70,01;142,75
337;70,05;145,63
338;70,86;127,34
339;66,05;115,96
340;65,23;104,44
341;68,74;138,49
342;69,51;145,50
343;70,30;124,40
344;67,29;124,18
345;67,60;126,16
346;67,85;138,81
347;66,46;121,55
348;68,92;114,25
349;68,46;129,40
350;69,51;137,55
351;70,23;134,49
352;67,85;127,71
353;68,00;115,67
354;67,13;131,59
355;68,09;127,58
356;68,99;125,72
357;69,32;119,98
358;70,09;140,86
359;68,74;136,91
360;64,18;118,47
361;66,09;129,55
362;69,24;152,07
363;69,66;120,86
364;68,42;136,10
365;68,28;130,06
366;69,37;131,77
367;68,35;139,38
368;72,32;168,22
369;70,37;127,64
370;65,72;131,80
371;66,49;122,85
372;70,81;140,21
373;67,37;142,69
374;67,79;137,42
375;68,16;126,03
376;68,85;143,59
377;67,71;122,62
378;64,66;108,60
379;65,73;100,66
380;68,42;116,13
381;68,88;140,52
382;68,27;125,69
383;69,18;134,33
384;72,60;136,46
385;66,04;127,88
386;69,22;123,13
387;68,87;116,33
388;66,46;124,55
389;69,30;125,78
390;67,58;107,59
391;69,41;143,02
392;67,46;118,74
393;66,44;118,98
394;68,76;131,87
395;63,76;119,36
396;69,03;126,12
397;66,48;126,61
398;66,74;113,55
399;67,69;115,84
400;66,69;130,27
401;67,02;125,45
402;65,91;117,16
403;70,03;137,31
404;69,26;149,44
405;70,07;151,06
406;64,90;116,99
407;69,68;138,17
408;67,56;127,62
409;63,85;120,75
410;71,61;144,25
411;64,98;105,79
412;64,60;120,15
413;62,01;109,08
414;65,28;125,97
415;67,70;110,23
416;70,85;134,47
417;68,17;115,50
418;67,45;125,10
419;71,04;116,41
420;67,83;133,39
421;67,15;108,74
422;68,30;134,39
423;65,41;131,20
424;68,66;130,83
425;70,06;127,08
426;69,13;119,40
427;67,02;105,56
428;65,52;134,47
429;70,19;132,68
430;67,66;126,05
431;69,73;126,35
432;67,61;142,36
433;70,79;124,58
434;69,65;122,36
435;66,73;123,22
436;67,58;131,40
437;65,25;124,30
438;70,71;128,38
439;71,27;136,85
440;66,55;118,05
441;68,04;121,49
442;68,11;119,28
443;71,23;126,55
444;66,92;129,24
445;71,10;134,78
446;69,41;146,07
447;69,16;162,41
448;68,57;130,18
449;69,60;132,19
450;69,05;127,45
451;68,28;125,34
452;69,25;134,75
453;68,23;121,93
454;67,68;125,66
455;68,84;145,95
456;69,52;119,92
457;66,97;111,50
458;72,00;138,67
459;67,44;135,01
460;66,06;116,50
461;65,57;123,95
462;68,30;136,95
463;71,02;153,07
464;70,76;126,35
465;67,50;145,06
