"n";"anno";"genere";"eta";"peso";"altezza";"dipsci";"dipcla";"diptec";"dipalt";"componenti";"occhiali";"fumo";"diploma"
1;1988;0;20,60;65,00;180;0;0;1;0;6;0;1;"     tec"
2;1988;0;20,20;75,00;180;1;0;0;0;4;0;0;"     sci"
3;1988;0;20,30;60,00;173;0;0;1;0;4;1;0;"     tec"
4;1988;0;23,90;93,00;187;1;0;0;0;8;0;1;"     sci"
5;1988;0;21,40;66,00;164;0;0;1;0;5;0;0;"     tec"
6;1988;0;25,00;84,00;186;0;0;1;0;4;0;0;"     tec"
7;1988;0;20,80;67,00;175;0;0;0;1;4;0;1;"     alt"
8;1988;0;20,60;89,00;170;0;1;0;0;3;1;0;"     cla"
9;1988;0;27,10;71,00;180;1;0;0;0;1;0;1;"     sci"
10;1988;0;23,30;63,00;170;0;1;0;0;4;0;0;"     cla"
11;1988;0;23,10;75,00;176;0;1;0;0;5;0;0;"     cla"
12;1988;0;21,30;78,00;182;0;0;1;0;5;0;1;"     tec"
13;1988;0;23,20;77,00;174;0;0;1;0;4;0;1;"     tec"
14;1988;0;23,20;64,00;167;1;0;0;0;4;0;1;"     sci"
15;1988;0;24,80;70,00;170;0;0;1;0;4;0;1;"     tec"
16;1988;0;23,20;77,00;180;0;1;0;0;5;0;0;"     cla"
17;1988;0;20,10;65,00;176;0;0;1;0;4;1;1;"     tec"
18;1988;0;46,70;60,00;160;0;0;1;0;5;0;0;"     tec"
19;1988;0;19,20;72,00;176;0;1;0;0;5;0;0;"     cla"
20;1988;0;25,50;74,00;178;0;1;0;0;4;0;0;"     cla"
21;1988;0;23,10;70,00;174;1;0;0;0;4;0;0;"     sci"
22;1988;0;25,00;72,00;170;1;0;0;0;5;1;1;"     sci"
23;1988;0;19,30;85,00;180;0;0;1;0;4;0;0;"     tec"
24;1988;0;20,70;83,00;182;0;1;0;0;5;1;0;"     cla"
25;1988;0;20,20;60,00;160;1;0;0;0;3;0;1;"     sci"
26;1988;0;20,80;70,00;176;1;0;0;0;4;0;1;"     sci"
27;1988;0;19,30;71,00;171;0;1;0;0;4;1;0;"     cla"
28;1988;0;63,50;93,00;184;1;0;0;0;2;1;0;"     sci"
29;1988;0;20,80;65,00;178;0;1;0;0;6;1;0;"     cla"
30;1988;0;20,30;78,00;177;0;0;1;0;6;1;1;"     tec"
31;1988;0;23,70;60,00;170;1;0;0;0;3;0;1;"     sci"
32;1988;0;23,30;71,00;173;1;0;0;0;4;1;1;"     sci"
33;1988;0;24,90;76,00;177;0;1;0;0;4;1;0;"     cla"
34;1988;0;19,20;67,00;171;0;0;1;0;5;0;0;"     tec"
35;1988;0;21,70;64,00;170;1;0;0;0;3;0;0;"     sci"
36;1988;0;20,50;84,00;187;0;0;1;0;5;0;1;"     tec"
37;1988;0;22,10;71,00;177;1;0;0;0;5;1;0;"     sci"
38;1988;0;31,30;69,00;170;0;0;1;0;5;1;0;"     tec"
39;1988;0;23,90;83,00;176;0;1;0;0;3;0;1;"     cla"
40;1988;0;19,60;94,00;182;0;1;0;0;8;1;0;"     cla"
41;1988;0;20,10;84,00;183;1;0;0;0;4;1;0;"     sci"
42;1988;0;20,90;75,00;183;1;0;0;0;6;1;0;"     sci"
43;1988;0;21,30;70,50;170;0;1;0;0;7;0;0;"     cla"
44;1988;0;25,90;75,00;183;0;0;1;0;5;0;0;"     tec"
