N ETA PESO ALTEZZA SESSO
1 47 76 170 M
2 84 NA NA M
3 81 75 170 M
4 75 70 168 F
5 75 72 178 M
6 49 130 182 M
7 64 85 162 F
8 81 NA NA M
9 55 NA NA M
10 93 NA 168 F
11 90 78 165 M
12 63 80 175 M
13 76 NA NA F
14 81 70 165 M
15 63 NA NA M
16 80 75 178 M
17 59 NA NA F
18 81 63 165 M
19 81 63 165 M
20 56 NA NA M
21 60 NA NA M
22 71 95 180 M
23 74 83 180 M
24 71 NA NA M
25 85 68 160 M
26 75 74 174 M
27 75 80 180 M
28 56 NA NA F
29 45 NA NA F
30 61 90 170 M
31 49 54 160 F
32 46 NA NA M
33 69 NA NA M
34 71 NA NA M
35 75 70 160 M
36 76 NA NA F
37 58 NA NA M
38 83 NA NA F
39 69 NA NA F
40 83 65 165 M
41 54 80 170 M
42 79 59 160 F
43 44 70 190 M
44 71 NA NA F
45 62 NA NA F
46 67 NA NA F
47 77 78 168 F
48 62 NA NA M
49 80 54 165 M
50 77 78 172 M
51 45 90 177 M
52 60 56 164 F
53 76 NA NA F
54 75 NA NA F
55 67 80 170 M
56 70 NA NA M
57 68 72 172 M
58 35 NA NA M
59 78 66 160 F
60 47 NA NA M
61 84 NA NA F
62 89 NA NA F
63 70 73 175 M
64 47 NA NA F
65 61 85 173 M
66 91 75 160 F
67 91 75 165 F
68 49 NA NA M
69 73 NA NA M
70 74 75 170 M
71 66 65 170 M
72 52 NA NA M
73 71 NA NA M
74 37 NA NA M
75 49 NA NA M
76 74 100 170 M
77 63 NA NA M
78 58 100 178 M
79 51 85 170 M
80 75 70 165 F
81 83 NA NA M
82 48 83 170 M
83 80 NA NA F
84 64 80 167 M
85 70 NA NA M
86 68 NA NA M
87 64 80 175 M
88 90 40 NA F
89 54 NA NA M
90 57 NA NA M
91 53 NA NA M
92 75 86 175 M
93 64 NA NA M
94 90 NA NA F
95 80 70 175 M
96 45 67 168 M
97 38 NA NA M
98 70 NA NA M
99 79 66 170 M
100 76 90 170 M
101 61 NA NA M
102 71 NA NA M
103 90 83 170 M
104 73 NA NA F
105 70 NA NA F
106 65 64 168 M
107 52 NA NA F
108 88 NA NA F
109 54 NA NA M
110 68 NA NA M
111 79 79 165 F
112 72 60 170 M
